can_id,can_data,interval_ms
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 00 00 00 00 50 6F,10
0x18C4D2D0,84 BB 00 00 00 00 60 5F,10
0x18C4D2D0,84 BB 00 00 00 00 70 4F,10
0x18C4D2D0,84 BB 00 00 00 00 80 BF,10
0x18C4D2D0,84 BB 00 00 00 00 90 AF,10
0x18C4D2D0,84 BB 00 00 00 00 A0 9F,10
0x18C4D2D0,84 BB 00 00 00 00 B0 8F,10
0x18C4D2D0,84 BB 00 00 00 00 C0 FF,10
0x18C4D2D0,84 BB 00 00 00 00 D0 EF,10
0x18C4D2D0,84 BB 00 00 00 00 E0 DF,10
0x18C4D2D0,84 BB 00 00 00 00 F0 CF,10
0x18C4D2D0,84 BB 00 00 00 00 00 3F,10
0x18C4D2D0,84 BB 00 00 00 00 10 2F,10
0x18C4D2D0,84 BB 00 00 00 00 20 1F,10
0x18C4D2D0,84 BB 00 00 00 00 30 0F,10
0x18C4D2D0,84 BB 00 00 00 00 40 7F,10
0x18C4D2D0,84 BB 10 00 00 00 50 7F,10
0x18C4D2D0,84 BB 10 00 00 00 60 4F,10
0x18C4D2D0,84 BB 10 00 00 00 70 5F,10
0x18C4D2D0,84 BB 10 00 00 00 80 AF,10
0x18C4D2D0,84 BB 10 00 00 00 90 BF,10
0x18C4D2D0,84 BB 10 00 00 00 A0 8F,10
0x18C4D2D0,84 BB 10 00 00 00 B0 9F,10
0x18C4D2D0,84 BB 10 00 00 00 C0 EF,10
0x18C4D2D0,84 BB 10 00 00 00 D0 FF,10
0x18C4D2D0,84 BB 10 00 00 00 E0 CF,10
0x18C4D2D0,84 BB 10 00 00 00 F0 DF,10
0x18C4D2D0,84 BB 10 00 00 00 00 2F,10
0x18C4D2D0,84 BB 10 00 00 00 10 3F,10
0x18C4D2D0,84 BB 10 00 00 00 20 0F,10
0x18C4D2D0,84 BB 10 00 00 00 30 1F,10
0x18C4D2D0,84 BB 10 00 00 00 40 6F,10
0x18C4D2D0,84 BB 10 00 00 00 50 7F,10
0x18C4D2D0,84 BB 10 00 00 00 60 4F,10
0x18C4D2D0,84 BB 10 00 00 00 70 5F,10
0x18C4D2D0,84 BB 10 00 00 00 80 AF,10
0x18C4D2D0,84 BB 10 00 00 00 90 BF,10
0x18C4D2D0,84 BB 20 00 00 00 A0 BF,10
0x18C4D2D0,84 BB 20 00 00 00 B0 AF,10
0x18C4D2D0,84 BB 20 00 00 00 C0 DF,10
0x18C4D2D0,84 BB 20 00 00 00 D0 CF,10
0x18C4D2D0,84 BB 20 00 00 00 E0 FF,10
0x18C4D2D0,84 BB 20 00 00 00 F0 EF,10
0x18C4D2D0,84 BB 20 00 00 00 00 1F,10
0x18C4D2D0,84 BB 20 00 00 00 10 0F,10
0x18C4D2D0,84 BB 20 00 00 00 20 3F,10
0x18C4D2D0,84 BB 20 00 00 00 30 2F,10
